Instance type,Release Date,Instance vCPU,Platform Total Number of vCPU,Platform CPU Name,Instance Memory (in GB),Platform Memory (in GB),Storage Info (Type and Size in GB),Storage Type,Platform Storage Drive Quantity,Platform GPU Quantity,Platform GPU Name,Instance Number of GPU,Instance GPU memory (in GB),PkgWatt @ Idle,PkgWatt @ 10%,PkgWatt @ 50%,PkgWatt @ 100%,RAMWatt @ Idle,RAMWatt @ 10%,RAMWatt @ 50%,RAMWatt @ 100%,GPUWatt @ Idle,GPUWatt @ 10%,GPUWatt @ 50%,GPUWatt @ 100%,Delta Full Machine,Instance @ Idle,Instance @ 10%,Instance @ 50%,Instance @ 100%,Hardware Information on AWS Documentation & Comments
c6gd.16xlarge,December 2019,64,64,Graviton2,128,128,2 x 1900 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,"17,42","47,74","112,84","152,78","25,60","38,40","51,20","76,80","0,0","0,0","0,0","0,0","30,0","73,0","116,1","194,0","259,6",AWS Graviton2 (ARM)
c6gd.metal,December 2019,64,64,Graviton2,128,128,2 x 1900 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,"17,42","47,74","112,84","152,78","25,60","38,40","51,20","76,80","0,0","0,0","0,0","0,0","30,0","73,0","116,1","194,0","259,6",AWS Graviton2 (ARM)
c6gn.medium,December 2019,1,64,Graviton2,2,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"0,27","0,75","1,76","2,39","0,40","0,60","0,80","1,20","0,0","0,0","0,0","0,0","0,5","1,1","1,8","3,0","4,1",AWS Graviton2 (ARM)
c6gn.large,December 2019,2,64,Graviton2,4,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"0,54","1,49","3,53","4,77","0,80","1,20","1,60","2,40","0,0","0,0","0,0","0,0","0,9","2,3","3,6","6,1","8,1",AWS Graviton2 (ARM)
c6gn.xlarge,December 2019,4,64,Graviton2,8,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"1,09","2,98","7,05","9,55","1,60","2,40","3,20","4,80","0,0","0,0","0,0","0,0","1,9","4,6","7,3","12,1","16,2",AWS Graviton2 (ARM)
c6gn.2xlarge,December 2019,8,64,Graviton2,16,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"2,18","5,97","14,10","19,10","3,20","4,80","6,40","9,60","0,0","0,0","0,0","0,0","3,8","9,1","14,5","24,3","32,4",AWS Graviton2 (ARM)
c6gn.4xlarge,December 2019,16,64,Graviton2,32,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"4,35","11,93","28,21","38,20","6,40","9,60","12,80","19,20","0,0","0,0","0,0","0,0","7,5","18,3","29,0","48,5","64,9",AWS Graviton2 (ARM)
c6gn.8xlarge,December 2019,32,64,Graviton2,64,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"8,71","23,87","56,42","76,39","12,80","19,20","25,60","38,40","0,0","0,0","0,0","0,0","15,0","36,5","58,1","97,0","129,8",AWS Graviton2 (ARM)
c6gn.12xlarge,December 2019,48,64,Graviton2,96,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"13,06","35,80","84,63","114,59","19,20","28,80","38,40","57,60","0,0","0,0","0,0","0,0","22,5","54,8","87,1","145,5","194,7",AWS Graviton2 (ARM)
c6gn.16xlarge,December 2019,64,64,Graviton2,128,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"17,42","47,74","112,84","152,78","25,60","38,40","51,20","76,80","0,0","0,0","0,0","0,0","30,0","73,0","116,1","194,0","259,6",AWS Graviton2 (ARM)
d2.xlarge,March 2015,4,48,Xeon E5-2676 v3,30.5,244,3 x 2000 HDD,HDD,24,N/A,N/A,N/A,N/A,"2,41","6,89","14,16","19,39","6,10","9,15","12,20","18,30","0,0","0,0","0,0","0,0","4,0","12,5","20,0","30,4","41,7",2.4 GHz Intel Xeon E5-2676 v3 Processor (Haswell)
d2.2xlarge,March 2015,8,48,Xeon E5-2676 v3,61,244,6 x 2000 HDD,HDD,24,N/A,N/A,N/A,N/A,"4,82","13,77","28,33","38,78","12,20","18,30","24,40","36,60","0,0","0,0","0,0","0,0","8,0","25,0","40,1","60,7","83,4",2.4 GHz Intel Xeon E5-2676 v3 Processor (Haswell)
d2.4xlarge,March 2015,16,48,Xeon E5-2676 v3,122,244,12 x 2000 HDD,HDD,24,N/A,N/A,N/A,N/A,"9,65","27,55","56,66","77,55","24,40","36,60","48,80","73,20","0,0","0,0","0,0","0,0","16,0","50,0","80,1","121,5","166,8",2.4 GHz Intel Xeon E5-2676 v3 Processor (Haswell)
d2.8xlarge,March 2015,36,48,Xeon E5-2676 v3,244,244,24 x 2000 HDD,HDD,24,N/A,N/A,N/A,N/A,"21,71","61,98","127,48","174,50","48,80","73,20","97,60","146,40","0,0","0,0","0,0","0,0","36,0","106,5","171,2","261,1","356,9",2.4 GHz Intel Xeon E5-2676 v3 Processor (Haswell)
d3.xlarge,December 2020,4,96,Xeon Platinum 8259CL,32,256,3 x 2 HDD,HDD,24,N/A,N/A,N/A,N/A,"2,28","5,75","12,79","18,56","4,98","8,24","14,74","21,25","0,0","0,0","0,0","0,0","3,5","10,8","17,5","31,0","43,3",
d3.2xlarge,December 2020,8,96,Xeon Platinum 8259CL,64,256,6 x 2 HDD,HDD,24,N/A,N/A,N/A,N/A,"4,56","11,49","25,58","37,12","9,95","16,47","29,48","42,49","0,0","0,0","0,0","0,0","7,0","21,5","35,0","62,1","86,6",
d3.4xlarge,December 2020,16,96,Xeon Platinum 8259CL,128,256,12 x 2 HDD,HDD,24,N/A,N/A,N/A,N/A,"9,12","22,99","51,16","74,23","19,91","32,94","58,96","84,98","0,0","0,0","0,0","0,0","14,0","43,0","69,9","124,1","173,2",
d3.8xlarge,December 2020,32,96,Xeon Platinum 8259CL,256,256,24 x 2 HDD,HDD,24,N/A,N/A,N/A,N/A,"18,24","45,97","102,31","148,46","39,81","65,89","117,93","169,97","0,0","0,0","0,0","0,0","28,0","86,0","139,9","248,2","346,4",
